date,source,scenario_file,variant,complete,total_agents,normalized_reward,wall_s,final_states,decision,notes
2026-06-28,eval_pickle,L4_s2_a150_ll4_malf360_seed11.pkl,v6_default_late_segment_guard,48,150,0.686561126,47.97,"DONE=48;STOPPED=62;MALFUNCTION=13;READY_TO_DEPART=24;MALFUNCTION_OFF_MAP=3",keep_default,"baseline for stoppage audit"
2026-06-28,stoppage_audit,L4_s2_a150_ll4_malf360_seed11.pkl,v6_default_late_segment_guard,48,150,0.686561126,29.52,"DONE=48;STOPPED=62;MALFUNCTION=13;READY_TO_DEPART=24;MALFUNCTION_OFF_MAP=3",diagnostic,"root causes: held_by_late_guard=40; malfunction_on_map=32; offmap_no_plan=22; malfunction_off_map=3; adjacent_swap_cycles=3; offmap_ready_no_command=2"
2026-06-28,eval_pickle,L4_s2_a150_ll4_malf360_seed11.pkl,late_guard_release_after_40,48,150,0.686561126,41.17,"DONE=48;STOPPED=62;MALFUNCTION=13;READY_TO_DEPART=24;MALFUNCTION_OFF_MAP=3",ruled_out,"no throughput change; debug releases=22226"
2026-06-28,eval_pickle,L4_s2_a150_ll4_malf360_seed11.pkl,late_guard_release_after_80,48,150,0.686561126,41.49,"DONE=48;STOPPED=62;MALFUNCTION=13;READY_TO_DEPART=24;MALFUNCTION_OFF_MAP=3",ruled_out,"no throughput change; debug releases=20001"
2026-06-28,eval_pickle,L4_s2_a150_ll4_malf360_seed11.pkl,late_guard_release_after_160,48,150,0.686561126,41.14,"DONE=48;STOPPED=62;MALFUNCTION=13;READY_TO_DEPART=24;MALFUNCTION_OFF_MAP=3",ruled_out,"no throughput change; debug releases=18580"
2026-06-28,stoppage_audit,L4_s2_a150_ll4_malf360_seed11.pkl,late_guard_release_after_40,48,150,0.686561126,35.62,"DONE=48;STOPPED=62;MALFUNCTION=13;READY_TO_DEPART=24;MALFUNCTION_OFF_MAP=3",ruled_out,"release removed guard roots but created adjacent-swap cycles; final completion unchanged"
2026-06-28,eval_pickle,L4_s2_a150_ll4_malf360_seed11.pkl,frozen_reroute_true,50,150,0.689907945,132.27,"DONE=50;STOPPED=61;MALFUNCTION=11;READY_TO_DEPART=24;MALFUNCTION_OFF_MAP=4",maybe_too_slow,"+2 completions but too slow for default"
2026-06-28,eval_pickle,L3_s1_a50_ll3_malf540_seed11.pkl,frozen_reroute_true,41,50,0.928065173,20.93,"DONE=41;STOPPED=8;MALFUNCTION=1",ruled_out_default,"same completion as default late guard but slightly lower norm and slower"
2026-06-28,eval_pickle,L4_s2_a150_ll4_malf360_seed11.pkl,frozen_reroute_max_1,50,150,0.689907945,167.99,"DONE=50;STOPPED=61;MALFUNCTION=11;READY_TO_DEPART=24;MALFUNCTION_OFF_MAP=4",ruled_out_default,"cap did not reduce wall time"
2026-06-28,eval_pickle,L4_s2_a150_ll4_malf360_seed11.pkl,frozen_reroute_max_2,50,150,0.689907945,182.78,"DONE=50;STOPPED=61;MALFUNCTION=11;READY_TO_DEPART=24;MALFUNCTION_OFF_MAP=4",ruled_out_default,"cap did not reduce wall time"
2026-06-28,eval_pickle,L4_s2_a150_ll4_malf360_seed11.pkl,frozen_reroute_max_3,50,150,0.689907945,180.11,"DONE=50;STOPPED=61;MALFUNCTION=11;READY_TO_DEPART=24;MALFUNCTION_OFF_MAP=4",ruled_out_default,"cap did not reduce wall time"
